"PHPHPHPHPHPHHPH
","[(15, 15), (16, 15), (17, 15), (17, 16), (16, 16), (16, 17), (17, 17), (18, 17), (18, 16), (19, 16), (19, 17), (20, 17), (20, 16), (21, 16), (21, 17), (22, 17)]",6
"PPHPPHHPPHHHPPH
","[(15, 15), (16, 15), (17, 15), (17, 16), (18, 16), (18, 15), (18, 14), (17, 14), (17, 13), (18, 13), (19, 13), (19, 14), (19, 15), (20, 15), (20, 14), (20, 13)]",7
"HPHHHHHHPPHPHHP
","[(15, 15), (16, 15), (16, 16), (16, 17), (15, 17), (15, 16), (14, 16), (14, 17), (14, 18), (15, 18), (16, 18), (17, 18), (17, 17), (17, 16), (18, 16), (18, 17)]",8
"HHPPPHPPHHPPHPP
","[(15, 15), (16, 15), (17, 15), (17, 16), (16, 16), (15, 16), (14, 16), (14, 15), (14, 14), (15, 14), (16, 14), (16, 13), (15, 13), (15, 12), (14, 12), (14, 13)]",8
"HHPPHPHPPPPHPHH
","[(15, 15), (16, 15), (17, 15), (17, 16), (16, 16), (16, 17), (15, 17), (15, 16), (14, 16), (14, 15), (14, 14), (15, 14), (16, 14), (16, 13), (15, 13), (15, 12)]",7
"HHHPPHPPPPHHHHP
","[(15, 15), (16, 15), (17, 15), (18, 15), (18, 16), (17, 16), (16, 16), (15, 16), (14, 16), (14, 15), (14, 14), (15, 14), (16, 14), (17, 14), (17, 13), (16, 13)]",8
"HHHPHHPPHPHPHHH
","[(15, 15), (16, 15), (17, 15), (18, 15), (18, 16), (17, 16), (16, 16), (15, 16), (14, 16), (14, 15), (14, 14), (15, 14), (16, 14), (17, 14), (17, 13), (16, 13)]",8
"HHHPHHHHHHPHHPH
","[(15, 15), (16, 15), (17, 15), (18, 15), (18, 16), (17, 16), (16, 16), (16, 17), (17, 17), (18, 17), (18, 18), (17, 18), (16, 18), (15, 18), (15, 17), (15, 16)]",9
"PHPHPHPHPHHPHHH
","[(15, 15), (16, 15), (17, 15), (17, 16), (16, 16), (16, 17), (17, 17), (18, 17), (18, 16), (19, 16), (19, 17), (20, 17), (20, 18), (19, 18), (19, 19), (20, 19)]",6
"HHHHHPPHHPHHHPP
","[(15, 15), (16, 15), (17, 15), (17, 16), (16, 16), (15, 16), (15, 17), (16, 17), (17, 17), (18, 17), (18, 16), (18, 15), (18, 14), (17, 14), (16, 14), (15, 14)]",9
"HPHPPPHHHPPPHHH
","[(15, 15), (16, 15), (16, 16), (16, 17), (15, 17), (15, 16), (14, 16), (14, 15), (14, 14), (15, 14), (15, 13), (14, 13), (13, 13), (13, 14), (13, 15), (13, 16)]",8
"HPPPHPHPPHPPHPP
","[(15, 15), (16, 15), (16, 16), (15, 16), (14, 16), (14, 15), (14, 14), (15, 14), (15, 13), (14, 13), (14, 12), (13, 12), (13, 13), (13, 14), (13, 15), (13, 16)]",7
"HHHHHPHHHHHHPPH
","[(15, 15), (16, 15), (17, 15), (17, 16), (16, 16), (15, 16), (15, 17), (16, 17), (17, 17), (18, 17), (18, 16), (18, 15), (18, 14), (17, 14), (16, 14), (15, 14)]",9
"HPHHHPPPPHPHHPH
","[(15, 15), (16, 15), (16, 16), (16, 17), (15, 17), (15, 16), (14, 16), (14, 17), (14, 18), (15, 18), (16, 18), (17, 18), (17, 17), (17, 16), (18, 16), (18, 17)]",8
"HHHHHPHPPPPPHPH
","[(15, 15), (16, 15), (17, 15), (17, 16), (16, 16), (15, 16), (15, 17), (16, 17), (17, 17), (18, 17), (18, 16), (18, 15), (18, 14), (17, 14), (16, 14), (15, 14)]",9
"HHPHPPHHPHHPPPH
","[(15, 15), (16, 15), (16, 16), (15, 16), (14, 16), (14, 15), (14, 14), (15, 14), (16, 14), (16, 13), (15, 13), (14, 13), (14, 12), (15, 12), (16, 12), (17, 12)]",8
"PPHPHPHHHHHHPPH
","[(15, 15), (16, 15), (17, 15), (18, 15), (18, 16), (17, 16), (17, 17), (18, 17), (19, 17), (19, 16), (20, 16), (20, 17), (20, 18), (19, 18), (18, 18), (17, 18)]",7
"PPPHPPPHPHHPHPH
","[(15, 15), (16, 15), (17, 15), (18, 15), (18, 16), (19, 16), (19, 15), (19, 14), (18, 14), (18, 13), (19, 13), (20, 13), (20, 14), (21, 14), (21, 15), (20, 15)]",5
"PHPHPPHPHPPPHHH
","[(15, 15), (16, 15), (17, 15), (17, 16), (16, 16), (16, 17), (17, 17), (18, 17), (18, 18), (17, 18), (17, 19), (18, 19), (19, 19), (20, 19), (20, 18), (19, 18)]",6
"PPHPPHPPHPHPHHH
","[(15, 15), (16, 15), (17, 15), (17, 16), (18, 16), (18, 15), (19, 15), (19, 14), (18, 14), (18, 13), (17, 13), (17, 14), (16, 14), (16, 13), (16, 12), (17, 12)]",6
"HPPPPHHPHHPPPPH
","[(15, 15), (16, 15), (16, 16), (15, 16), (15, 17), (14, 17), (14, 16), (14, 15), (13, 15), (13, 16), (13, 17), (12, 17), (12, 16), (12, 15), (12, 14), (13, 14)]",7
"HHHPPHPHHPPPHPP
","[(15, 15), (16, 15), (17, 15), (18, 15), (18, 16), (17, 16), (16, 16), (15, 16), (14, 16), (14, 15), (14, 14), (15, 14), (16, 14), (17, 14), (17, 13), (16, 13)]",8
"PHPHHPHPPPPPPPH
","[(15, 15), (16, 15), (17, 15), (17, 16), (16, 16), (16, 17), (17, 17), (17, 18), (18, 18), (18, 17), (18, 16), (18, 15), (18, 14), (17, 14), (16, 14), (16, 13)]",5
"HPPPHPPHHPPPHPP
","[(15, 15), (16, 15), (16, 16), (15, 16), (14, 16), (14, 15), (13, 15), (13, 16), (13, 17), (14, 17), (14, 18), (13, 18), (12, 18), (12, 17), (12, 16), (12, 15)]",7
"HPPPHPHHHPPHHPP
","[(15, 15), (16, 15), (16, 16), (15, 16), (14, 16), (14, 15), (13, 15), (13, 16), (13, 17), (14, 17), (14, 18), (13, 18), (12, 18), (12, 17), (12, 16), (12, 15)]",8
"HPHHPHPPHHPPHPH
","[(15, 15), (16, 15), (16, 16), (16, 17), (15, 17), (15, 16), (14, 16), (14, 15), (14, 14), (15, 14), (16, 14), (16, 13), (15, 13), (14, 13), (14, 12), (15, 12)]",7
"HPHPPPHHPHHHPPP
","[(15, 15), (16, 15), (16, 16), (16, 17), (15, 17), (15, 16), (14, 16), (14, 15), (14, 14), (13, 14), (13, 15), (13, 16), (13, 17), (12, 17), (12, 16), (12, 15)]",7
"PPPHPPHPHHHHHPP
","[(15, 15), (16, 15), (17, 15), (18, 15), (18, 16), (19, 16), (19, 15), (20, 15), (20, 14), (19, 14), (18, 14), (18, 13), (19, 13), (20, 13), (21, 13), (21, 14)]",6
"HHPHHPPPPPPPHHH
","[(15, 15), (16, 15), (17, 15), (17, 16), (16, 16), (16, 17), (15, 17), (15, 16), (14, 16), (14, 15), (14, 14), (15, 14), (16, 14), (17, 14), (17, 13), (16, 13)]",7
"PHHPHPPPHPPPPPH
","[(15, 15), (16, 15), (17, 15), (18, 15), (18, 16), (17, 16), (17, 17), (18, 17), (19, 17), (19, 16), (20, 16), (20, 17), (21, 17), (21, 18), (20, 18), (19, 18)]",5
"HHHHPPHPHPPHPPP
","[(15, 15), (16, 15), (17, 15), (18, 15), (18, 16), (17, 16), (16, 16), (15, 16), (14, 16), (14, 15), (14, 14), (15, 14), (16, 14), (17, 14), (18, 14), (19, 14)]",8
"HHHHHPPHPPPPPHH
","[(15, 15), (16, 15), (17, 15), (17, 16), (16, 16), (15, 16), (15, 17), (16, 17), (17, 17), (18, 17), (18, 16), (18, 15), (18, 14), (17, 14), (16, 14), (15, 14)]",9
"HHPHPPPHPPHPPPP
","[(15, 15), (16, 15), (17, 15), (17, 16), (16, 16), (15, 16), (14, 16), (14, 15), (13, 15), (13, 14), (14, 14), (15, 14), (16, 14), (16, 13), (15, 13), (14, 13)]",7
"HHPHHHPHPPHPHHP
","[(15, 15), (16, 15), (17, 15), (17, 16), (16, 16), (16, 17), (17, 17), (17, 18), (16, 18), (15, 18), (15, 17), (15, 16), (14, 16), (14, 17), (13, 17), (13, 16)]",8
"PPPPPHPHHPHPPPP
","[(15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (21, 16), (20, 16), (20, 17), (21, 17), (21, 18), (22, 18), (22, 17), (22, 16), (23, 16)]",4
"HHPPHHHPPHPPPPP
","[(15, 15), (16, 15), (17, 15), (17, 16), (16, 16), (15, 16), (15, 17), (16, 17), (16, 18), (15, 18), (14, 18), (14, 17), (14, 16), (14, 15), (14, 14), (15, 14)]",8
"HPPHPPHHPHHHHHH
","[(15, 15), (16, 15), (16, 16), (15, 16), (15, 17), (14, 17), (14, 16), (14, 15), (14, 14), (13, 14), (13, 15), (13, 16), (13, 17), (12, 17), (12, 16), (12, 15)]",7
"HHHPHPHHHHPHHPP
","[(15, 15), (16, 15), (17, 15), (18, 15), (18, 16), (17, 16), (16, 16), (15, 16), (14, 16), (14, 15), (14, 14), (15, 14), (16, 14), (17, 14), (17, 13), (16, 13)]",8
"PHHHHPPHHHPPHHP
","[(15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (19, 16), (18, 16), (17, 16), (16, 16), (16, 17), (17, 17), (17, 18), (16, 18), (15, 18), (15, 17), (15, 16)]",7
"PHHHHHPHPPPHPPH
","[(15, 15), (16, 15), (17, 15), (18, 15), (18, 16), (17, 16), (16, 16), (16, 17), (17, 17), (18, 17), (19, 17), (19, 16), (19, 15), (19, 14), (18, 14), (17, 14)]",8
"HPPPHPPHPHPPHPH
","[(15, 15), (16, 15), (16, 16), (15, 16), (14, 16), (14, 15), (14, 14), (15, 14), (16, 14), (16, 13), (15, 13), (15, 12), (16, 12), (17, 12), (17, 13), (18, 13)]",6
"PPPHHPPPPHPPHHH
","[(15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (19, 16), (20, 16), (20, 15), (20, 14), (19, 14), (18, 14), (18, 13), (19, 13), (20, 13), (20, 12), (19, 12)]",5
"HPPHPHPHPHPHPHP
","[(15, 15), (16, 15), (16, 16), (15, 16), (15, 17), (14, 17), (14, 16), (13, 16), (13, 17), (12, 17), (12, 16), (12, 15), (13, 15), (14, 15), (14, 14), (15, 14)]",7
"PPHPPHHHPPHPPHP
","[(15, 15), (16, 15), (17, 15), (18, 15), (18, 16), (17, 16), (17, 17), (16, 17), (16, 16), (15, 16), (15, 17), (15, 18), (16, 18), (17, 18), (18, 18), (18, 17)]",6
"HPHPHHPPPHPPPPH
","[(15, 15), (16, 15), (16, 16), (15, 16), (15, 17), (16, 17), (16, 18), (15, 18), (14, 18), (14, 17), (13, 17), (13, 16), (14, 16), (14, 15), (14, 14), (15, 14)]",7
"HPPPPPPPPPHHHPP
","[(15, 15), (16, 15), (17, 15), (17, 16), (16, 16), (15, 16), (14, 16), (14, 15), (14, 14), (15, 14), (16, 14), (17, 14), (18, 14), (18, 13), (17, 13), (16, 13)]",5
"HPHHPHHPHPPPHPH
","[(15, 15), (16, 15), (16, 16), (16, 17), (15, 17), (15, 16), (14, 16), (14, 15), (14, 14), (15, 14), (15, 13), (14, 13), (13, 13), (13, 14), (13, 15), (13, 16)]",7
"PPPPPHPHPPHPPHP
","[(15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (21, 16), (20, 16), (20, 17), (21, 17), (21, 18), (22, 18), (22, 17), (22, 16), (23, 16)]",4
"HHHPHHHHPHHHPHH
","[(15, 15), (16, 15), (16, 16), (15, 16), (15, 17), (16, 17), (17, 17), (17, 16), (17, 15), (18, 15), (18, 16), (18, 17), (18, 18), (17, 18), (16, 18), (15, 18)]",9
"HHPPHHPHPPPHPHP
","[(15, 15), (16, 15), (17, 15), (17, 16), (16, 16), (16, 17), (15, 17), (15, 16), (14, 16), (14, 15), (14, 14), (15, 14), (16, 14), (16, 13), (15, 13), (15, 12)]",7
"HPHPPPPHPPPPPPH
","[(15, 15), (16, 15), (16, 16), (16, 17), (15, 17), (15, 16), (14, 16), (14, 15), (13, 15), (13, 14), (14, 14), (15, 14), (16, 14), (17, 14), (17, 15), (17, 16)]",6
"PPHHHHPHPHPPHPP
","[(15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (19, 16), (18, 16), (18, 17), (19, 17), (20, 17), (20, 16), (20, 15), (20, 14), (19, 14), (18, 14), (17, 14)]",7
"HPPHHPPPHPHHPHH
","[(15, 15), (16, 15), (17, 15), (17, 16), (16, 16), (15, 16), (15, 17), (16, 17), (17, 17), (17, 18), (18, 18), (18, 17), (18, 16), (19, 16), (19, 17), (19, 18)]",7
"PPHPHHHHHHHPHHH
","[(15, 15), (16, 15), (17, 15), (18, 15), (18, 16), (17, 16), (17, 17), (18, 17), (19, 17), (19, 16), (20, 16), (20, 17), (20, 18), (19, 18), (18, 18), (17, 18)]",7
"HHPHPHPHPPHPHHP
","[(15, 15), (16, 15), (17, 15), (17, 16), (16, 16), (16, 17), (17, 17), (17, 18), (16, 18), (15, 18), (15, 17), (15, 16), (14, 16), (14, 17), (13, 17), (13, 16)]",7
"HHPPHPPPPPPPPPH
","[(15, 15), (16, 15), (17, 15), (17, 16), (16, 16), (16, 17), (15, 17), (15, 16), (14, 16), (14, 15), (14, 14), (15, 14), (16, 14), (17, 14), (18, 14), (19, 14)]",6
